season,title,rating,votes,double,episode,month,director,writer
1,Pilot,7.4,7006,0,1,3,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels
1,Diversity Day,8.3,6902,0,2,3,Ken Kwapis,B.J. Novak
1,Health Care,7.7,5756,0,3,4,Ken Whittingham,Paul Lieberstein
1,The Alliance,8.0,5579,0,4,4,Bryan Gordon,Michael Schur
1,Basketball,8.4,6183,0,5,4,Greg Daniels,Greg Daniels
1,Hot Girl,7.7,5495,0,6,4,Amy Heckerling,Mindy Kaling
2,The Dundies,8.7,6184,0,1,9,Greg Daniels,Mindy Kaling
2,Sexual Harassment,8.2,5299,0,2,9,Ken Kwapis,B.J. Novak
2,Office Olympics,8.3,5249,0,3,10,Paul Feig,Michael Schur
2,The Fire,8.3,5183,0,4,10,Ken Kwapis,B.J. Novak
2,Halloween,8.1,4857,0,5,10,Paul Feig,Greg Daniels
2,The Fight,8.1,4867,0,6,11,Ken Kwapis,Lee Eisenberg;Gene Stupnitsky
2,The Client,8.6,5125,0,7,11,Greg Daniels,Paul Lieberstein
2,Performance Review,8.1,4629,0,8,11,Paul Feig,Larry Willmore
2,E-Mail Surveillance,8.4,4766,0,9,11,Paul Feig,Jennifer Celotta
2,Christmas Party,8.9,5278,0,10,12,Charles McDougall,Michael Schur
2,Booze Cruise,8.6,5086,0,11,1,Ken Kwapis,Greg Daniels
2,The Injury,9.1,6120,0,12,1,Bryan Gordon,Mindy Kaling
2,The Secret,8.2,4518,0,13,1,Dennie Gordon,Lee Eisenberg;Gene Stupnitsky
2,The Carpet,7.8,4465,0,14,1,Victor Nelli Jr.,Paul Lieberstein
2,Boys and Girls,8.1,4431,0,15,2,Dennie Gordon,B.J. Novak
2,Valentine's Day,8.3,4450,0,16,2,Greg Daniels,Michael Schur
2,Dwight's Speech,8.4,4737,0,17,3,Charles McDougall,Paul Lieberstein
2,Take Your Daughter to Work Day,8.3,4590,0,18,3,Victor Nelli Jr.,Mindy Kaling
2,Michael's Birthday,8.1,4432,0,19,3,Ken Whittingham,Lee Eisenberg;Gene Stupnitsky
2,Drug Testing,8.4,4522,0,20,4,Greg Daniels,Jennifer Celotta
2,Conflict Resolution,8.7,4627,0,21,5,Greg Daniels,Greg Daniels
