season,episode,title,director,writer
1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels
1,2,Diversity Day,Ken Kwapis,B.J. Novak
1,3,Health Care,Ken Whittingham,Paul Lieberstein
1,4,The Alliance,Bryan Gordon,Michael Schur
1,5,Basketball,Greg Daniels,Greg Daniels
1,6,Hot Girl,Amy Heckerling,Mindy Kaling
2,1,The Dundies,Greg Daniels,Mindy Kaling
2,2,Sexual Harassment,Ken Kwapis,B.J. Novak
2,3,Office Olympics,Paul Feig,Michael Schur
2,4,The Fire,Ken Kwapis,B.J. Novak
2,5,Halloween,Paul Feig,Greg Daniels
2,6,The Fight,Ken Kwapis,Lee Eisenberg;Gene Stupnitsky
2,7,The Client,Greg Daniels,Paul Lieberstein
2,8,Performance Review,Paul Feig,Larry Willmore
2,9,E-Mail Surveilance,Paul Feig,Jennifer Celotta
2,10,Christmas Party,Charles McDougall,Michael Schur
2,11,Booze Cruise,Ken Kwapis,Greg Daniels
2,12,The Injury,Bryan Gordon,Mindy Kaling
2,13,The Secret,Dennie Gordon,Lee Eisenberg;Gene Stupnitsky
2,14,The Carpet,Victor Nelli Jr.,Paul Lieberstein
2,15,Boys & Girls,Dennie Gordon,B.J. Novak
2,16,Valentine's Day,Greg Daniels,Michael Schur
2,17,Dwight's Speech,Charles McDougall,Paul Lieberstein
2,18,Take Your Daughter to Work Day,Victor Nelli Jr.,Mindy Kaling
2,19,Michael's Birthday,Ken Whittingham,Lee Eisenberg;Gene Stupnitsky
2,20,Drug Testing,Greg Daniels,Jennifer Celotta
2,21,Conflict Resolution,Greg Daniels,Greg Daniels
2,22,Casino Night,Greg Daniels,Steve Carell
3,1,Gay Witch Hunt,Ken Kwapis,Greg Daniels
3,2,The Convention,Ken Whittingham,Lee Eisenberg;Gene Stupnitsky
3,3,The Coup,Greg Daniels,Paul Lieberstein
3,4,Grief Counseling,Roger Nygard,Jennifer Celotta
3,5,Initiation,Randall Einhorn,B.J. Novak
3,6,Diwali,Miguel Arteta,Mindy Kaling
3,7,Branch Closing,Tucker Gates,Michael Schur
3,8,The Merger,Ken Whittingham,Brent Forrester
3,9,The Convict,Jeffrey Blitz,Ricky Gervais;Stephen Merchant
3,10,A Benihana Christmas (Parts 1&2),Harold Ramis,Jennifer Celotta
3,12,Back from Vacation,Julian Farino,Justin Spitzer
3,13,Traveling Salesmen,Greg Daniels,Lee Eisenberg;Gene Stupnitsky;Michael Schur
3,14,The Return,Greg Daniels,Lee Eisenberg;Gene Stupnitsky;Michael Schur
3,15,Ben Franklin,Randall Einhorn,Mindy Kaling
3,16,Phyllis' Wedding,Ken Whittingham,Caroline Williams
3,17,Business School,Joss Whedon,Brent Forrester
3,18,Cocktails,J.J. Abrams,Paul Lieberstein
3,19,The Negotiation,Jeffrey Blitz,Michael Schur
3,20,Safety Training,Harold Ramis,B.J. Novak
3,21,Product Recall,Randall Einhorn,Brent Forrester;Justin Spitzer
3,22,Women's Appreciation,Tucker Gates,Lee Eisenberg;Gene Stupnitsky
3,23,Beach Games,Harold Ramis,Jennifer Celotta;Greg Daniels
3,24,The Job (Parts 1&2),Ken Kwapis,Paul Lieberstein;Michael Schur
4,1,Fun Run (Parts 1&2),Greg Daniels,Greg Daniels
4,3,Dunder Mifflin Infinity (Parts 1&2),Craig Zisk,Michael Schur
4,5,Launch Party (Parts 1&2),Ken Whittingham,Jennifer Celotta
4,7,Money (Parts 1&2),Paul Lieberstein,Paul Lieberstein
4,9,Local Ad,Jason Reitman,B.J. Novak
4,10,Branch Wars,Joss Whedon,Mindy Kaling
4,11,Survivor Man,Paul Feig,Steve Carell
4,12,The Deposition,Julian Farino,Lester Lewis
4,13,Dinner Party,Paul Feig,Lee Eisenberg;Gene Stupnitsky
4,14,Chair Model,Jeffrey Blitz,B.J. Novak
4,15,Night Out,Ken Whittingham,Mindy Kaling
4,16,Did I Stutter?,Randall Einhorn,Brent Forrester;Justin Spitzer
4,17,Job Fair,Tucker Gates,Lee Eisenberg;Gene Stupnitsky
4,18,"Goodbye, Toby (Parts 1&2)",Paul Feig,Jennifer Celotta;Paul Lieberstein
5,1,Weight Loss (Parts 1&2),Paul Feig,Lee Eisenberg;Gene Stupnitsky
5,3,Business Ethics,Jeffrey Blitz,Ryan Koh
5,4,Baby Shower,Greg Daniels,Aaron Shure
5,5,Crime Aid,Jennifer Celotta,Charlie Grandy
5,6,Employee Transfer,David Rogers,Anthony Q. Farrell
5,7,Customer Survey,Stephen Merchant,Lester Lewis
5,8,Business Trip,Randall Einhorn,Brent Forrester
5,9,Frame Toby,Jason Reitman,Mindy Kaling
5,10,The Surplus,Paul Feig,Lee Eisenberg;Gene Stupnitsky
5,11,Moroccan Christmas,Paul Feig,Justin Spitzer
5,12,The Duel,Dean Holland,Jennifer Celotta
5,13,Prince Family Paper,Asaad Kelada,B.J. Novak
5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein
5,16,Lecture Circuit (Part 1),Ken Kwapis,Mindy Kaling
5,17,Lecture Circuit (Part 2),Ken Kwapis,Mindy Kaling
5,18,Blood Drive,Randall Einhorn,Brent Forrester
5,19,Golden Ticket,Randall Einhorn,Mindy Kaling
5,20,New Boss,Paul Feig,Lee Eisenberg;Gene Stupnitsky
5,21,Two Weeks,Paul Lieberstein,Aaron Shure
5,22,Dream Team,Paul Feig,B.J. Novak
5,23,The Michael Scott Paper Company,Lee Eisenberg;Gene Stupnitsky,Justin Spitzer
5,24,Heavy Competition,Ken Whittingham,Ryan Koh
5,25,Broke,Steve Carell,Charlie Grandy
5,26,Casual Friday,Brent Forrester,Anthony Q. Farrell
5,27,Cafe Disco,Randall Einhorn,Warren Lieberstein;Halsted Sullivan
5,28,Company Picnic,Ken Kwapis,Jennifer Celotta;Paul Lieberstein
6,1,Gossip,Paul Lieberstein,Paul Lieberstein
6,2,The Meeting,Randall Einhorn,Aaron Shure
6,3,The Promotion,Jennifer Celotta,Jennifer Celotta
6,4,Niagara (Parts 1&2),Paul Feig,Greg Daniels;Mindy Kaling
6,6,Mafia,David Rogers,Brent Forrester
6,7,The Lover,Lee Eisenberg;Gene Stupnitsky,Lee Eisenberg;Gene Stupnitsky
6,8,Koi Pond,Reginald Hudlin,Warren Lieberstein;Halsted Sullivan
6,9,Double Date,Seth Gordon,Charlie Grandy
6,10,Murder,Greg Daniels,Daniel Chun
6,11,Shareholder Meeting,Charles McDougall,Justin Spitzer
6,12,Scott's Tots,B.J. Novak,Lee Eisenberg;Gene Stupnitsky
6,13,Secret Santa,Randall Einhorn,Mindy Kaling
6,14,The Banker,Jeffrey Blitz,Jason Kessler
6,15,Sabre,John Krasinski,Jennifer Celotta
6,16,The Manager and the Salesman,Marc Webb,Mindy Kaling
6,17,The Delivery (Parts 1&2),Seth Gordon;Harold Ramis,Daniel Chun;Charlie Grandy
6,19,St. Patrick's Day,Randall Einhorn,Jonathan Huges
6,20,New Leads,Brent Forrester,Brent Forrester
6,21,Happy Hour,Matt Sohn,B.J. Novak
6,22,Secretary's Day,Steve Carell,Mindy Kaling
6,23,Body Language,Mindy Kaling,Justin Spitzer
6,24,The Cover,Rainn Wilson,Lee Eisenberg;Gene Stupnitsky
6,25,The Chump,Randall Einhorn,Aaron Shure
